,Churn,Churn_prob,CustID,predicted
0,0,0.24581698947372363,879,0
1,0,0.26536077587860485,5790,0
2,1,0.6694097806934528,6498,1
3,1,0.6309703303790285,880,1
4,1,0.6829160564305612,2784,1
5,0,0.3995262170548807,3874,0
6,0,0.27582790829891435,5387,0
7,1,0.7981675274354735,6623,1
8,0,0.19878625427446764,4465,0
9,1,0.5291187840193698,5364,1
10,0,0.1434414535753892,3022,0
11,1,0.5890380365473954,1251,1
12,1,0.7203952543887124,3494,1
13,0,0.01222543147947214,266,0
14,0,0.010704798772629621,2772,0
15,0,0.07105520067912294,242,0
16,0,0.44956853218603116,738,0
17,0,0.04179223762613592,4066,0
18,0,0.21917280558719127,3214,0
19,0,0.008663343578551023,2408,0
20,0,0.0042865569177483725,4201,0
21,0,0.39050225919721443,389,0
22,0,0.007833324719416028,3683,0
23,0,0.24766597664463696,689,0
24,0,0.07557293359098544,6502,0
25,0,0.16356383009041603,500,0
26,0,0.20232133514744785,3296,0
27,0,0.493821335319202,4334,0
28,0,0.17040618018657655,340,0
29,0,0.3069630169225684,3848,0
30,0,0.4194309874096354,1037,0
31,1,0.6227678642128291,2104,1
32,0,0.09713127874328208,5527,0
33,1,0.5925808634235764,1001,1
34,0,0.04793980227235634,3889,0
35,0,0.624466495559811,2548,1
36,1,0.21484979109640137,6746,0
37,1,0.7972957825509112,6552,1
38,0,0.18116938805614446,4352,0
39,0,0.020753744456584677,1154,0
40,1,0.24061620696169603,4812,0
41,1,0.6879538883756443,6033,1
42,0,0.054044089741114285,3404,0
43,0,0.17763856060637986,4282,0
44,0,0.03770240025872667,1723,0
45,1,0.12841528027122434,4128,0
46,0,0.7407331148447271,4283,1
47,0,0.012086753768516038,5453,0
48,1,0.7322426858905066,47,1
49,1,0.5375469484073696,5059,1
50,0,0.10392371331363988,653,0
51,0,0.11199984285604792,2409,0
52,0,0.02270305040381933,3748,0
53,0,0.07356377644623799,5620,0
54,1,0.3689511748136732,2206,0
55,0,0.1434414535753892,2374,0
56,0,0.01504914154574109,3118,0
57,0,0.004028888894876171,1108,0
58,0,0.03471735949879582,5558,0
59,0,0.34505592036948696,5611,0
60,0,0.7140636927803834,459,1
61,1,0.3848933495301108,4276,0
62,1,0.6345146998168861,1662,1
63,1,0.734897129087672,5476,1
64,0,0.0055390187189394225,1092,0
65,0,0.013063782642496672,4004,0
66,0,0.23888364746708243,6079,0
67,0,0.023544765730798778,592,0
68,0,0.009359242286206645,4914,0
69,0,0.28024661898117886,5472,0
70,0,0.03632487200279637,5758,0
71,0,0.1251623967359593,6446,0
72,0,0.13299090502131322,3130,0
73,0,0.42086803695536806,853,0
74,0,0.17753505402465844,6644,0
75,1,0.3069630169225684,4893,0
76,0,0.01689426034453366,1979,0
77,1,0.5926262346807006,4417,1
78,0,0.011569568140469177,6723,0
79,0,0.019961603097833312,3896,0
80,0,0.24632618713390922,709,0
81,0,0.25201162868430893,3684,0
82,0,0.012676505328810187,528,0
83,0,0.675853490230119,4173,1
84,0,0.006138295256941635,6856,0
85,0,0.030069050486415366,5367,0
86,1,0.6663928305526052,1029,1
87,1,0.6965687085099855,3000,1
88,0,0.41406183338835,6271,0
89,1,0.7397176531746398,1208,1
90,0,0.13311376216355866,6937,0
91,0,0.148233321768057,6449,0
92,0,0.2758429959775201,5834,0
93,0,0.01675614583384395,3873,0
94,1,0.7722391478908909,512,1
95,0,0.1458623196969066,4552,0
96,0,0.12089036690143186,6025,0
97,1,0.6941657584065067,3917,1
98,0,0.058637894539920535,4906,0
99,0,0.13193158866328855,4824,0
100,0,0.002913955285260876,932,0
101,0,0.5130533546623355,2945,1
102,0,0.07398452846232499,4767,0
103,0,0.009902901975617679,6951,0
104,0,0.0720277720878246,6689,0
105,1,0.1666760601711454,3240,0
106,0,0.10366048249745292,1094,0
107,1,0.3582162908118308,5894,0
108,0,0.31486836047387834,5793,0
109,0,0.18918916289006996,225,0
110,1,0.8515655768201532,5783,1
111,0,0.05793188605908119,6194,0
112,1,0.42395177225832165,5432,0
113,0,0.16195012348450016,618,0
114,0,0.028336264034059852,4822,0
115,0,0.40528788632909823,4936,0
116,1,0.32243838417603804,6535,0
117,0,0.20244295007868204,1626,0
118,0,0.20274838147227853,5665,0
119,0,0.09223416590197947,4627,0
120,0,0.01648642609513034,904,0
121,0,0.037390185155232146,5819,0
122,0,0.011985701898604652,4605,0
123,0,0.10696467964595802,3129,0
124,1,0.148233321768057,5738,0
125,0,0.01582250920684351,6229,0
126,1,0.6202867193806647,1498,1
127,0,0.48768410709742827,4101,0
128,1,0.148233321768057,5540,0
129,0,0.2407955820851392,4763,0
130,0,0.041339065833471876,283,0
131,1,0.35327604305078214,6796,0
132,0,0.05016007134668112,516,0
133,0,0.02701774521894429,1093,0
134,1,0.06822464292704711,6357,0
135,1,0.3940406602322202,4706,0
136,0,0.03990290313014784,870,0
137,0,0.017122707529024915,3051,0
138,0,0.2922793545439438,6539,0
139,0,0.05928342459644734,3134,0
140,0,0.005913070245960713,6525,0
141,0,0.19734074124272957,1939,0
142,0,0.2318331648642822,2648,0
143,0,0.14870262171711687,1123,0
144,0,0.12424776081967555,3541,0
145,1,0.6694097806934528,4837,1
146,1,0.07622902593066626,6290,0
147,0,0.0921958515345586,3189,0
148,0,0.4308316829152384,4780,0
149,0,0.3522843710193906,4141,0
150,0,0.12677554797127144,1913,0
151,0,0.24090522015434118,359,0
152,1,0.665757670332357,2673,1
153,1,0.7150182830222044,1456,1
154,0,0.20099627826626115,1355,0
155,1,0.5890380365473954,4062,1
156,1,0.42160014748344354,3185,0
157,0,0.4413918516221085,4704,0
158,0,0.019669207399830056,2009,0
159,0,0.03086726254012421,1844,0
160,0,0.01156749905040116,5858,0
161,0,0.15644431124825645,2762,0
162,0,0.01648715061594674,2058,0
163,1,0.6910814393678542,6524,1
164,0,0.3195898461193173,90,0
165,0,0.04306795783244522,5093,0
166,0,0.09803684081600816,496,0
167,1,0.3940406602322202,3756,0
168,0,0.02798926630733407,2469,0
169,0,0.004883427945698849,5357,0
170,0,0.6279065760476469,6802,1
171,0,0.6102000593979269,6128,1
172,0,0.06465684246302665,3156,0
173,0,0.15836392612969435,57,0
174,0,0.08292942818004174,1127,0
175,0,0.06561333463178182,6382,0
